,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
4117,4148,02 Frutales,Níspero,Níspero Algar,Alicante,5,21,1.02,1.02,2017,2017-21
4260,4292,02 Frutales,Níspero,Níspero Algar,Alicante,5,20,1.15,1.15,2017,2017-20
4390,4423,02 Frutales,Níspero,Níspero Algar,Alicante,5,19,1.17,1.17,2017,2017-19
4519,4553,02 Frutales,Níspero,Níspero Algar,Alicante,5,18,1.16,1.16,2017,2017-18
4651,4686,02 Frutales,Níspero,Níspero Algar,Alicante,4,17,1.18,1.18,2017,2017-17
4778,4814,02 Frutales,Níspero,Níspero Algar,Alicante,4,16,1.15,1.15,2017,2017-16
4908,4945,02 Frutales,Níspero,Níspero Algar,Alicante,4,15,1.63,1.54,2017,2017-15
14,15,02 Frutales,Níspero,Níspero Algar,Alicante,5,22,1.15,1.15,2018,2018-22
133,135,02 Frutales,Níspero,Níspero Algar,Alicante,5,21,1.19,1.19,2018,2018-21
260,263,02 Frutales,Níspero,Níspero Algar,Alicante,5,20,1.24,1.24,2018,2018-20
381,385,02 Frutales,Níspero,Níspero Algar,Alicante,5,19,1.19,1.19,2018,2018-19
504,509,02 Frutales,Níspero,Níspero Algar,Alicante,5,18,1.1,1.1,2018,2018-18
631,637,02 Frutales,Níspero,Níspero Algar,Alicante,4,17,1.17,1.17,2018,2018-17
757,764,02 Frutales,Níspero,Níspero Algar,Alicante,4,16,1.3,1.3,2018,2018-16
887,895,02 Frutales,Níspero,Níspero Algar,Alicante,4,15,1.63,1.63,2018,2018-15
1018,1027,02 Frutales,Níspero,Níspero Algar,Alicante,4,14,1.85,1.85,2018,2018-14
6911,63,02 Frutales,Níspero,Níspero Algar,Alicante,6,23,1.2,0.0,2018,2018-23
3670,66,02 Frutales,Níspero,Níspero Algar,Alicante,6,23,1.03,0.0,2019,2019-23
3795,65,02 Frutales,Níspero,Níspero Algar,Alicante,5,22,1.02,0.0,2019,2019-22
3796,66,02 Frutales,Níspero,Níspero Algar,Castellón,5,22,0.6,0.0,2019,2019-22
3921,56,02 Frutales,Níspero,Níspero Algar,Alicante,5,21,1.05,0.0,2019,2019-21
3922,57,02 Frutales,Níspero,Níspero Algar,Castellón,5,21,0.77,0.85,2019,2019-21
4052,55,02 Frutales,Níspero,Níspero Algar,Alicante,5,20,1.07,0.0,2019,2019-20
4182,51,02 Frutales,Níspero,Níspero Algar,Alicante,5,19,1.01,0.0,2019,2019-19
4318,53,02 Frutales,Níspero,Níspero Algar,Alicante,4,18,1.01,0.0,2019,2019-18
4454,53,02 Frutales,Níspero,Níspero Algar,Alicante,4,17,1.15,0.0,2019,2019-17
4592,55,02 Frutales,Níspero,Níspero Algar,Alicante,4,16,1.63,0.0,2019,2019-16
4134,54,02 Frutales,Níspero,Níspero Algar,Alicante,5,22,0.83,0.0,2020,2020-22
4252,44,02 Frutales,Níspero,Níspero Algar,Alicante,5,21,0.83,0.0,2020,2020-21
4379,53,02 Frutales,Níspero,Níspero Algar,Alicante,5,20,0.95,0.0,2020,2020-20
4508,53,02 Frutales,Níspero,Níspero Algar,Alicante,5,19,0.77,0.0,2020,2020-19
4630,48,02 Frutales,Níspero,Níspero Algar,Alicante,4,18,0.8,0.0,2020,2020-18
4752,42,02 Frutales,Níspero,Níspero Algar,Alicante,4,17,0.82,0.0,2020,2020-17
4873,45,02 Frutales,Níspero,Níspero Algar,Alicante,4,16,0.86,0.0,2020,2020-16
4994,48,02 Frutales,Níspero,Níspero Algar,Alicante,4,15,1.27,0.0,2020,2020-15
5117,55,02 Frutales,Níspero,Níspero Algar,Alicante,3,14,1.16,0.0,2020,2020-14
3667,57,02 Frutales,Níspero,Níspero Algar,Alicante,6,23,1.06,0.0,2021,2021-23
3795,57,02 Frutales,Níspero,Níspero Algar,Alicante,5,22,1.06,0.0,2021,2021-22
3919,53,02 Frutales,Níspero,Níspero Algar,Alicante,5,21,1.03,0.0,2021,2021-21
4050,50,02 Frutales,Níspero,Níspero Algar,Alicante,5,20,1.09,0.0,2021,2021-20
4181,51,02 Frutales,Níspero,Níspero Algar,Alicante,5,19,1.01,0.0,2021,2021-19
4310,45,02 Frutales,Níspero,Níspero Algar,Alicante,4,18,1.09,0.0,2021,2021-18
4434,44,02 Frutales,Níspero,Níspero Algar,Alicante,4,17,1.52,0.0,2021,2021-17
4562,48,02 Frutales,Níspero,Níspero Algar,Alicante,4,16,1.56,0.0,2021,2021-16
7,42,02 Frutales,Níspero,Níspero Algar,Alicante,5,18,1.39,0.0,2022,2022-18
123,49,02 Frutales,Níspero,Níspero Algar,Alicante,4,17,1.73,0.0,2022,2022-17
