,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
29,30,02 Frutales,Granada,Granada Mollar,Alicante,12,51,0.71,0.42,2017,2017-51
185,187,02 Frutales,Granada,Granada Mollar,Alicante,12,50,0.71,0.42,2017,2017-50
334,337,02 Frutales,Granada,Granada Mollar,Alicante,12,49,0.74,0.42,2017,2017-49
479,483,02 Frutales,Granada,Granada Mollar,Alicante,11,48,0.74,0.42,2017,2017-48
637,642,02 Frutales,Granada,Granada Mollar,Alicante,11,47,0.74,0.42,2017,2017-47
786,792,02 Frutales,Granada,Granada Mollar,Alicante,11,46,0.8,0.37,2017,2017-46
930,937,02 Frutales,Granada,Granada Mollar,Alicante,11,45,0.8,0.37,2017,2017-45
1083,1091,02 Frutales,Granada,Granada Mollar,Alicante,10,44,0.8,0.37,2017,2017-44
1227,1236,02 Frutales,Granada,Granada Mollar,Alicante,10,43,0.8,0.37,2017,2017-43
1363,1373,02 Frutales,Granada,Granada Mollar,Alicante,10,42,0.8,0.37,2017,2017-42
1500,1511,02 Frutales,Granada,Granada Mollar,Alicante,10,41,0.8,0.37,2017,2017-41
1637,1649,02 Frutales,Granada,Granada Mollar,Alicante,10,40,0.85,0.81,2017,2017-40
1638,1650,02 Frutales,Granada,Granada Valenciana,Alicante,10,40,0.65,0.61,2017,2017-40
1767,1780,02 Frutales,Granada,Granada Valenciana,Alicante,9,39,0.65,0.61,2017,2017-39
1906,1920,02 Frutales,Granada,Granada Valenciana,Alicante,9,38,0.77,0.62,2017,2017-38
2037,2052,02 Frutales,Granada,Granada Valenciana,Alicante,9,37,0.87,0.62,2017,2017-37
6730,6780,02 Frutales,Granada,Granada Mollar,Alicante,1,2,0.58,0.53,2017,2017-2
6887,6938,02 Frutales,Granada,Granada Mollar,Alicante,1,1,0.58,0.53,2017,2017-1
7035,7087,02 Frutales,Granada,Granada Mollar,Alicante,1,52,0.58,0.53,2017,2017-52
2602,2622,02 Frutales,Granada,Granada Mollar,Alicante,1,3,0.48,0.46,2018,2018-3
2758,2779,02 Frutales,Granada,Granada Mollar,Alicante,1,2,0.71,0.46,2018,2018-2
2918,2940,02 Frutales,Granada,Granada Mollar,Alicante,1,1,0.71,0.46,2018,2018-1
3065,3088,02 Frutales,Granada,Granada Mollar,Alicante,1,52,0.71,0.42,2018,2018-52
3205,59,02 Frutales,Granada,Granada Mollar,Alicante,12,52,0.26,0.48,2018,2018-52
3340,62,02 Frutales,Granada,Granada Mollar,Alicante,12,50,0.26,0.48,2018,2018-50
3483,57,02 Frutales,Granada,Granada Mollar,Alicante,12,49,0.26,0.5,2018,2018-49
3623,59,02 Frutales,Granada,Granada Mollar,Alicante,11,48,0.26,0.5,2018,2018-48
3769,58,02 Frutales,Granada,Granada Mollar,Alicante,11,47,0.41,0.5,2018,2018-47
3906,58,02 Frutales,Granada,Granada Mollar,Alicante,11,46,0.41,0.5,2018,2018-46
4048,67,02 Frutales,Granada,Granada Mollar,Alicante,11,45,0.45,0.5,2018,2018-45
4197,84,02 Frutales,Granada,Granada Mollar,Alicante,10,44,0.45,0.5,2018,2018-44
