,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
3845,3874,02 Frutales,Nectarina,Nectarina amarilla,Valencia,6,23,0.64,0.35,2017,2017-23
3986,4016,02 Frutales,Nectarina,Nectarina amarilla,Alicante,5,22,0.7,0.7,2017,2017-22
3987,4017,02 Frutales,Nectarina,Nectarina amarilla,Valencia,5,22,0.77,0.5,2017,2017-22
3988,4018,02 Frutales,Nectarina,Nectarina blanca,Alicante,5,22,0.7,0.7,2017,2017-22
3989,4019,02 Frutales,Nectarina,Nectarina blanca,Valencia,5,22,0.77,0.5,2017,2017-22
4115,4146,02 Frutales,Nectarina,Nectarina amarilla,Valencia,5,21,0.91,0.5,2017,2017-21
4116,4147,02 Frutales,Nectarina,Nectarina blanca,Valencia,5,21,0.91,0.5,2017,2017-21
4258,4290,02 Frutales,Nectarina,Nectarina amarilla,Valencia,5,20,0.55,0.49,2017,2017-20
4259,4291,02 Frutales,Nectarina,Nectarina blanca,Valencia,5,20,0.55,0.36,2017,2017-20
4388,4421,02 Frutales,Nectarina,Nectarina amarilla,Valencia,5,19,0.74,0.62,2017,2017-19
4389,4422,02 Frutales,Nectarina,Nectarina blanca,Valencia,5,19,0.54,0.54,2017,2017-19
4518,4552,02 Frutales,Nectarina,Nectarina amarilla,Valencia,5,18,1.09,1.0,2017,2017-18
4650,4685,02 Frutales,Nectarina,Nectarina amarilla,Valencia,4,17,2.65,2.65,2017,2017-17
12,13,02 Frutales,Nectarina,Nectarina amarilla,Valencia,5,22,1.44,0.7,2018,2018-22
13,14,02 Frutales,Nectarina,Nectarina blanca,Valencia,5,22,1.34,0.7,2018,2018-22
131,133,02 Frutales,Nectarina,Nectarina amarilla,Valencia,5,21,1.06,0.71,2018,2018-21
132,134,02 Frutales,Nectarina,Nectarina blanca,Valencia,5,21,1.06,0.71,2018,2018-21
258,261,02 Frutales,Nectarina,Nectarina amarilla,Valencia,5,20,1.36,0.71,2018,2018-20
259,262,02 Frutales,Nectarina,Nectarina blanca,Valencia,5,20,1.26,0.9,2018,2018-20
379,383,02 Frutales,Nectarina,Nectarina amarilla,Valencia,5,19,2.05,1.65,2018,2018-19
380,384,02 Frutales,Nectarina,Nectarina blanca,Valencia,5,19,1.9,1.9,2018,2018-19
503,508,02 Frutales,Nectarina,Nectarina amarilla,Valencia,5,18,2.32,2.32,2018,2018-18
6402,43,02 Frutales,Nectarina,Nectarina Amarilla,Alicante,7,27,0.7,0.8,2018,2018-27
6528,48,02 Frutales,Nectarina,Nectarina Amarilla,Alicante,6,26,0.7,0.8,2018,2018-26
6653,57,02 Frutales,Nectarina,Nectarina Amarilla,Alicante,6,25,0.8,0.85,2018,2018-25
6782,63,02 Frutales,Nectarina,Nectarina Amarilla,Alicante,6,24,0.7,0.0,2018,2018-24
6783,64,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,6,24,0.78,0.85,2018,2018-24
6784,67,02 Frutales,Nectarina,Nectarina Blanca,Valencia,6,24,0.78,0.0,2018,2018-24
6908,57,02 Frutales,Nectarina,Nectarina Amarilla,Alicante,6,23,0.7,0.0,2018,2018-23
6909,58,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,6,23,0.7,1.36,2018,2018-23
6910,61,02 Frutales,Nectarina,Nectarina Blanca,Valencia,6,23,0.7,1.3,2018,2018-23
3438,47,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,6,25,0.3,0.4,2019,2019-25
3439,50,02 Frutales,Nectarina,Nectarina Blanca,Valencia,6,25,0.3,0.4,2019,2019-25
3546,56,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,6,24,0.4,0.58,2019,2019-24
3547,59,02 Frutales,Nectarina,Nectarina Blanca,Valencia,6,24,0.4,0.58,2019,2019-24
3668,61,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,6,23,0.54,0.63,2019,2019-23
3669,64,02 Frutales,Nectarina,Nectarina Blanca,Valencia,6,23,0.54,0.63,2019,2019-23
3793,60,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,22,0.44,0.63,2019,2019-22
3794,63,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,22,0.49,0.63,2019,2019-22
3919,51,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,21,0.3,0.63,2019,2019-21
3920,54,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,21,0.28,0.63,2019,2019-21
4050,50,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,20,0.23,0.6,2019,2019-20
4051,53,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,20,0.28,0.6,2019,2019-20
4180,46,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,19,0.39,0.7,2019,2019-19
4181,49,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,19,0.38,0.7,2019,2019-19
3872,71,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,6,24,0.45,0.55,2020,2020-24
4011,72,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,6,23,0.53,0.8,2020,2020-23
4012,75,02 Frutales,Nectarina,Nectarina Blanca,Valencia,6,23,0.54,1.1,2020,2020-23
4132,49,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,22,0.85,1.1,2020,2020-22
4133,52,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,22,1.03,1.1,2020,2020-22
4250,39,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,21,0.95,1.06,2020,2020-21
4251,42,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,21,0.95,1.11,2020,2020-21
4377,48,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,20,0.65,0.9,2020,2020-20
4378,51,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,20,0.65,0.9,2020,2020-20
4506,48,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,19,0.42,0.7,2020,2020-19
4507,51,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,19,0.63,0.7,2020,2020-19
4628,43,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,4,18,0.6,0.62,2020,2020-18
4629,46,02 Frutales,Nectarina,Nectarina Blanca,Valencia,4,18,0.6,0.63,2020,2020-18
3540,52,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,6,24,0.67,0.92,2021,2021-24
3541,55,02 Frutales,Nectarina,Nectarina Blanca,Valencia,6,24,0.72,0.92,2021,2021-24
3665,52,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,6,23,0.95,1.1,2021,2021-23
3666,55,02 Frutales,Nectarina,Nectarina Blanca,Valencia,6,23,0.95,1.1,2021,2021-23
3793,52,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,22,1.03,1.2,2021,2021-22
3794,55,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,22,1.11,1.3,2021,2021-22
3917,48,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,21,0.81,1.2,2021,2021-21
3918,51,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,21,0.83,1.3,2021,2021-21
4048,45,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,20,0.72,1.2,2021,2021-20
4049,48,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,20,0.63,1.19,2021,2021-20
4179,46,02 Frutales,Nectarina,Nectarina Amarilla,Valencia,5,19,0.72,1.1,2021,2021-19
4180,49,02 Frutales,Nectarina,Nectarina Blanca,Valencia,5,19,0.72,0.0,2021,2021-19
